,county,state,lat,lon
6651,Steuben,New York,42.26781770723393,-77.38378967164395
6663,Buncombe,North Carolina,35.611218072460645,-82.53011373671242
6666,Catawba,North Carolina,35.66204989024545,-81.21508747661396
6769,Butler,Pennsylvania,40.91173841975589,-79.91299087536149
6783,Montour,Pennsylvania,41.02787252538503,-76.65858680736083
6801,Dillon,South Carolina,34.391500407210124,-79.37892379101797
6803,Edgefield,South Carolina,33.77228793350582,-81.96657259932368
6807,Greenwood,South Carolina,34.153825962776935,-82.12592518228706
6809,Jasper,South Carolina,32.43670776991656,-81.03151748979606
6814,Marlboro,South Carolina,34.60199211643858,-79.67862311508372
6815,Newberry,South Carolina,34.28981956503417,-81.60013329165828
6926,Albemarle,Virginia,38.02312280484617,-78.55556218262666
6929,Botetourt,Virginia,37.55713768008065,-79.81235004115422
6934,Franklin,Virginia,36.99194871335029,-79.88103980896854
6940,Isle of Wight,Virginia,36.89129818874445,-76.72583675872306
6943,Mecklenburg,Virginia,36.68036334523365,-78.36274764275427
6952,Suffolk city,Virginia,36.69531743481354,-76.63984443060605
7174,Bradford,Florida,29.949958002354546,-82.16877346653118
7181,Columbia,Florida,30.22425751854957,-82.62154308915927
7182,DeSoto,Florida,27.18636209202988,-81.80941658985813
7185,Flagler,Florida,29.46143906208262,-81.31356088678545
7217,Barrow,Georgia,33.99319619517074,-83.7127357002228
7220,Butts,Georgia,33.28788771010975,-83.95718929920669
7224,Chattooga,Georgia,34.47500681470066,-85.34534530177267
7228,Clinch,Georgia,30.915000693942385,-82.7062600421475
7230,Coffee,Georgia,31.54930273755232,-82.8491703423824
7270,Tattnall,Georgia,32.04580553867012,-82.05813132048327
7275,Twiggs,Georgia,32.66720571614534,-83.42707987610278
7474,Cecil,Maryland,39.57124899866323,-75.94074158319042
7482,St. Mary's,Maryland,38.30243742018832,-76.60577971883721
7662,Sullivan,New Hampshire,43.361357540002366,-72.22214702355461
7679,Salem,New Jersey,39.58768674315069,-75.34903410440246
7700,Cortland,New York,42.59502219544324,-76.07028084079919
7712,Madison,New York,42.91277593807988,-75.66965057467961
7728,St. Lawrence,New York,44.49640531862629,-75.06908479429258
7746,Cherokee,North Carolina,35.13388036757318,-84.06348032455492
7748,Cumberland,North Carolina,35.04862560945034,-78.8275617493463
7750,Davie,North Carolina,35.9291134798064,-80.54448222381262
7755,Granville,North Carolina,36.30405544749724,-78.65273153716232
7758,Henderson,North Carolina,35.33635337228796,-82.48000578554478
7762,Lee,North Carolina,35.47519509270792,-79.17148832186523
7766,Nash,North Carolina,35.96726384238835,-77.98643010025685
7772,Robeson,North Carolina,34.640166178021374,-79.10389749379209
7775,Scotland,North Carolina,34.84094636500776,-79.48039582990043
7777,Union,North Carolina,34.98841941500146,-80.53072590995508
7869,Columbia,Pennsylvania,41.04871011582185,-76.40519336079011
7871,Dauphin,Pennsylvania,40.415461566836186,-76.77946245341938
7874,Fayette,Pennsylvania,39.91989806447065,-79.64735074455726
7881,Mercer,Pennsylvania,41.30218935551655,-80.25768374014197
7889,Schuylkill,Pennsylvania,40.70582207395277,-76.21598223013665
7902,Colleton,South Carolina,32.8636220940718,-80.66689573689078
8040,Amherst,Virginia,37.60477925054989,-79.14511363796593
8042,Bedford,Virginia,37.31517160880914,-79.52420455074565
8047,Culpeper,Virginia,38.48606902683315,-77.9558939048733
8049,Fluvanna,Virginia,37.841899085945656,-78.2775770041168
8058,Lee,Virginia,36.705433563855976,-83.12848653060165
8060,Louisa,Virginia,37.97820812088423,-77.96297359815381
8068,Rockingham,Virginia,38.510634660899576,-78.87573632849809
8348,Burke,Georgia,33.06108981425818,-82.00090941431523
8351,Catoosa,Georgia,34.903634702303805,-85.13825208111508
8377,Harris,Georgia,32.736042625041364,-84.90889878901963
